id0	restaurant	-37.31592091	147.812377
id1	restaurant	-37.42898288	146.4412437
id2	restaurant	-37.87555851	149.0194333
id3	restaurant	-37.88230314	142.4747503
id4	restaurant	-37.39400314	143.1968218
id5	restaurant	-37.86604092	143.7264498
id6	restaurant	-38.38827721	145.7099461
id7	restaurant	-36.6661331	144.1355919
id8	restaurant	-36.52350152	145.0017964
id9	restaurant	-38.03365897	146.6999612
id10	restaurant	-36.48404179	144.60856
id11	restaurant	-37.76975357	143.8467715
id12	restaurant	-37.61483469	143.2922339
id13	restaurant	-38.29153721	145.6584571
id14	restaurant	-38.15961108	143.4728501
id15	restaurant	-37.85264129	143.8373264
id16	restaurant	-37.13925654	144.0514703
id17	restaurant	-37.39265311	145.8345144
id18	restaurant	-37.6161065	144.9722762
id19	restaurant	-37.10332916	145.3397858
id20	restaurant	-37.01183983	147.7996252
id21	restaurant	-37.32858425	144.123709
id22	restaurant	-37.34559771	145.8193082
id23	restaurant	-37.02881464	147.0230059
id24	restaurant	-37.17600074	144.5504415
id25	restaurant	-37.90046642	143.367974
id26	restaurant	-36.90560462	145.4825145
id27	restaurant	-36.98528088	144.2601343
id28	restaurant	-37.19806541	141.7815332
id29	restaurant	-35.79860491	144.5990455
id30	restaurant	-37.34761792	142.6119031
id31	restaurant	-37.61028418	145.5318994
id32	restaurant	-36.95922006	143.4472795
id33	restaurant	-37.8656063	145.2769546
id34	restaurant	-37.65151774	145.9162661
id35	restaurant	-38.17790123	143.9493931
id36	restaurant	-37.22680846	144.914684
id37	restaurant	-37.18022936	145.3446358
id38	restaurant	-36.84849509	143.9522773
id39	restaurant	-36.62803168	145.0285928
id40	restaurant	-37.43507305	145.8120791
id41	restaurant	-37.27192747	144.7952863
id42	restaurant	-37.44287862	143.7128561
id43	restaurant	-36.85085894	148.7646028
id44	restaurant	-37.40068674	142.6659037
id45	restaurant	-37.62651109	146.0072049
id46	restaurant	-37.68628814	145.4551491
id47	restaurant	-37.62893758	140.1180644
id48	restaurant	-37.34470655	145.2838601
id49	restaurant	-37.95532161	142.8539884
id50	restaurant	-37.69295649	146.6037212
id51	restaurant	-37.0458927	146.1210586
id52	restaurant	-38.12461438	144.3638246
id53	restaurant	-37.26251439	142.750331
id54	restaurant	-37.93431285	143.8520284
id55	restaurant	-36.81567266	143.8181938
id56	restaurant	-37.32137633	144.0154727
id57	restaurant	-38.28608809	144.6581059
id58	restaurant	-37.07140386	142.918361
id59	restaurant	-37.93943464	142.7040053
id60	restaurant	-38.37260537	143.0795931
id61	restaurant	-37.68799177	143.9006741
id62	restaurant	-37.26600122	144.233367
id63	restaurant	-36.65085129	144.7687971
id64	restaurant	-37.80707488	145.8191495
id65	restaurant	-37.40764786	146.47606
id66	restaurant	-37.72223465	142.5217455
id67	restaurant	-37.93835091	142.3885612
id68	restaurant	-37.92161056	143.4514774
id69	restaurant	-37.86628539	143.8709137
id70	restaurant	-37.131229	146.5680464
id71	restaurant	-37.75903342	142.6572418
id72	restaurant	-37.20337617	145.3921394
id73	restaurant	-37.8787017	144.863629
id74	restaurant	-38.31636444	143.7742638
id75	restaurant	-37.10041136	144.1697472
id76	restaurant	-37.46138471	142.7300251
id77	restaurant	-37.40662124	144.303083
